Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Maize,Medium,34,Rainy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,17,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,38,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,94,Windy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,High,84,Rainy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,34,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,54,Sunny,Mild,Groundnut requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,97,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,27,Windy,None,Sugarcane requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,90,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,117,Cloudy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,52,Cloudy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,31,Sunny,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,43,Windy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Medium,32,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,73,Sunny,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,111,Rainy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,113,Windy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,High,79,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,107,Rainy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,50,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,18,Sunny,None,Maize requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,120,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,52,Rainy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,20,Sunny,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,29,Cloudy,Mild,Barley requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,78,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,79,Windy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,High,7,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,93,Windy,None,Groundnut requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,High,120,Cloudy,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,88,Windy,Severe,Cotton requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Millets,Low,22,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,55,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,41,Windy,Mild,Groundnut requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Maize,Medium,20,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,104,Windy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,114,Sunny,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,67,Sunny,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,45,Sunny,Severe,Maize requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,37,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,High,74,Windy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Maize,Medium,34,Windy,None,Maize requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Maize,Medium,35,Rainy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,33,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,28,Windy,Moderate,Rice requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
